Lần cuối,Mở,Cao,Thấp,% Thay đổi,Ngày
11045.0,11045.0,11045.0,11045.0,0.0,1995-06-08
11045.0,11045.0,11045.0,11045.0,0.0,1995-06-09
11045.0,11045.0,11045.0,11045.0,0.0,1995-06-10
11045.0,11045.0,11045.0,11045.0,0.0,1995-06-11
11045.0,11045.0,11045.0,11045.0,0.0,1995-06-12
11045.0,11045.0,11045.0,11045.0,0.0,1995-06-13
11045.0,11045.0,11045.0,11045.0,0.0,1995-06-14
11045.0,11045.0,11045.0,11045.0,0.0,1995-06-15
11045.0,11045.0,11045.0,11045.0,0.0,1995-06-16
11045.0,11045.0,11045.0,11045.0,0.0,1995-06-17
11045.0,11045.0,11045.0,11045.0,0.0,1995-06-18
11045.0,11045.0,11045.0,11045.0,0.0,1995-06-19
11045.0,11045.0,11045.0,11045.0,0.0,1995-06-20
11045.0,11045.0,11045.0,11045.0,0.0,1995-06-21
11042.0,11042.0,11042.0,11042.0,-0.03,1995-06-22
11040.0,11040.0,11040.0,11040.0,-0.02,1995-06-23
11040.0,11040.0,11040.0,11040.0,0.0,1995-06-24
11040.0,11040.0,11040.0,11040.0,0.0,1995-06-25
11040.0,11040.0,11040.0,11040.0,0.0,1995-06-26
11040.0,11040.0,11040.0,11040.0,0.0,1995-06-27
11040.0,11040.0,11040.0,11040.0,0.0,1995-06-28
11040.0,11040.0,11040.0,11040.0,0.0,1995-06-29
11040.0,11040.0,11040.0,11040.0,0.0,1995-06-30
11040.0,11040.0,11040.0,11040.0,0.0,1995-07-01
11040.0,11040.0,11040.0,11040.0,0.0,1995-07-02
11040.0,11040.0,11040.0,11040.0,0.0,1995-07-03
11040.0,11040.0,11040.0,11040.0,0.0,1995-07-04
11040.0,11040.0,11040.0,11040.0,0.0,1995-07-05
11040.0,11040.0,11040.0,11040.0,0.0,1995-07-06
11035.0,11035.0,11035.0,11035.0,-0.05,1995-07-07
11035.0,11035.0,11035.0,11035.0,0.0,1995-07-08
11035.0,11035.0,11035.0,11035.0,0.0,1995-07-09
11035.0,11035.0,11035.0,11035.0,0.0,1995-07-10
11035.0,11035.0,11035.0,11035.0,0.0,1995-07-11
11035.0,11035.0,11035.0,11035.0,0.0,1995-07-12
11035.0,11035.0,11035.0,11035.0,0.0,1995-07-13
11035.0,11035.0,11035.0,11035.0,0.0,1995-07-14
11035.0,11035.0,11035.0,11035.0,0.0,1995-07-15
11035.0,11035.0,11035.0,11035.0,0.0,1995-07-16
11035.0,11035.0,11035.0,11035.0,0.0,1995-07-17
11025.0,11025.0,11025.0,11025.0,-0.09,1995-07-18
11025.0,11025.0,11025.0,11025.0,0.0,1995-07-19
11020.0,11020.0,11020.0,11020.0,-0.05,1995-07-20
11020.0,11020.0,11020.0,11020.0,0.0,1995-07-21
11020.0,11020.0,11020.0,11020.0,0.0,1995-07-22
11020.0,11020.0,11020.0,11020.0,0.0,1995-07-23
11020.0,11020.0,11020.0,11020.0,0.0,1995-07-24
11030.0,11030.0,11030.0,11030.0,0.09,1995-07-25
11030.0,11030.0,11030.0,11030.0,0.0,1995-07-26
11030.0,11030.0,11030.0,11030.0,0.0,1995-07-27
11030.0,11030.0,11030.0,11030.0,0.0,1995-07-28
11030.0,11030.0,11030.0,11030.0,0.0,1995-07-29
11030.0,11030.0,11030.0,11030.0,0.0,1995-07-30
11030.0,11030.0,11030.0,11030.0,0.0,1995-07-31
11030.0,11030.0,11030.0,11030.0,0.0,1995-08-01
11030.0,11030.0,11030.0,11030.0,0.0,1995-08-02
11030.0,11030.0,11030.0,11030.0,0.0,1995-08-03
11030.0,11030.0,11030.0,11030.0,0.0,1995-08-04
11030.0,11030.0,11030.0,11030.0,0.0,1995-08-05
11030.0,11030.0,11030.0,11030.0,0.0,1995-08-06
11030.0,11030.0,11030.0,11030.0,0.0,1995-08-07
11030.0,11030.0,11030.0,11030.0,0.0,1995-08-08
11030.0,11030.0,11030.0,11030.0,0.0,1995-08-09
11030.0,11030.0,11030.0,11030.0,0.0,1995-08-10
11030.0,11030.0,11030.0,11030.0,0.0,1995-08-11
11030.0,11030.0,11030.0,11030.0,0.0,1995-08-12
11030.0,11030.0,11030.0,11030.0,0.0,1995-08-13
11030.0,11030.0,11030.0,11030.0,0.0,1995-08-14
11030.0,11030.0,11030.0,11030.0,0.0,1995-08-15
11030.0,11030.0,11030.0,11030.0,0.0,1995-08-16
11030.0,11030.0,11030.0,11030.0,0.0,1995-08-17
11039.0,11039.0,11039.0,11039.0,0.08,1995-08-18
11039.0,11039.0,11039.0,11039.0,0.0,1995-08-19
11039.0,11039.0,11039.0,11039.0,0.0,1995-08-20
11039.0,11039.0,11039.0,11039.0,0.0,1995-08-21
11039.0,11039.0,11039.0,11039.0,0.0,1995-08-22
11030.0,11030.0,11030.0,11030.0,-0.08,1995-08-23
11030.0,11030.0,11030.0,11030.0,0.0,1995-08-24
11030.0,11030.0,11030.0,11030.0,0.0,1995-08-25
11030.0,11030.0,11030.0,11030.0,0.0,1995-08-26
11030.0,11030.0,11030.0,11030.0,0.0,1995-08-27
11030.0,11030.0,11030.0,11030.0,0.0,1995-08-28
11025.0,11025.0,11025.0,11025.0,-0.05,1995-08-29
11025.0,11025.0,11025.0,11025.0,0.0,1995-08-30
11025.0,11025.0,11025.0,11025.0,0.0,1995-08-31
11025.0,11025.0,11025.0,11025.0,0.0,1995-09-01
11025.0,11025.0,11025.0,11025.0,0.0,1995-09-02
11025.0,11025.0,11025.0,11025.0,0.0,1995-09-03
11025.0,11025.0,11025.0,11025.0,0.0,1995-09-04
11025.0,11025.0,11025.0,11025.0,0.0,1995-09-05
11025.0,11025.0,11025.0,11025.0,0.0,1995-09-06
11025.0,11025.0,11025.0,11025.0,0.0,1995-09-07
11025.0,11025.0,11025.0,11025.0,0.0,1995-09-08
11025.0,11025.0,11025.0,11025.0,0.0,1995-09-09
11025.0,11025.0,11025.0,11025.0,0.0,1995-09-10
11025.0,11025.0,11025.0,11025.0,0.0,1995-09-11
11025.0,11025.0,11025.0,11025.0,0.0,1995-09-12
11025.0,11025.0,11025.0,11025.0,0.0,1995-09-13
11025.0,11025.0,11025.0,11025.0,0.0,1995-09-14
11025.0,11025.0,11025.0,11025.0,0.0,1995-09-15
11025.0,11025.0,11025.0,11025.0,0.0,1995-09-16
11025.0,11025.0,11025.0,11025.0,0.0,1995-09-17
11025.0,11025.0,11025.0,11025.0,0.0,1995-09-18
11025.0,11025.0,11025.0,11025.0,0.0,1995-09-19
11025.0,11025.0,11025.0,11025.0,0.0,1995-09-20
11025.0,11025.0,11025.0,11025.0,0.0,1995-09-21
11025.0,11025.0,11025.0,11025.0,0.0,1995-09-22
11025.0,11025.0,11025.0,11025.0,0.0,1995-09-23
11025.0,11025.0,11025.0,11025.0,0.0,1995-09-24
11025.0,11025.0,11025.0,11025.0,0.0,1995-09-25
11025.0,11025.0,11025.0,11025.0,0.0,1995-09-26
11025.0,11025.0,11025.0,11025.0,0.0,1995-09-27
11025.0,11025.0,11025.0,11025.0,0.0,1995-09-28
11015.0,11015.0,11015.0,11015.0,-0.09,1995-09-29
11015.0,11015.0,11015.0,11015.0,0.0,1995-09-30
11015.0,11015.0,11015.0,11015.0,0.0,1995-10-01
11012.0,11012.0,11012.0,11012.0,-0.03,1995-10-02
11011.0,11011.0,11011.0,11011.0,-0.01,1995-10-03
11011.0,11011.0,11011.0,11011.0,0.0,1995-10-04
11008.0,11008.0,11008.0,11008.0,-0.03,1995-10-05
11008.0,11008.0,11008.0,11008.0,0.0,1995-10-06
11008.0,11008.0,11008.0,11008.0,0.0,1995-10-07
11008.0,11008.0,11008.0,11008.0,0.0,1995-10-08
11008.0,11008.0,11008.0,11008.0,0.0,1995-10-09
11008.0,11008.0,11008.0,11008.0,0.0,1995-10-10
11003.0,11003.0,11003.0,11003.0,-0.05,1995-10-11
11000.0,11000.0,11000.0,11000.0,-0.03,1995-10-12
11000.0,11000.0,11000.0,11000.0,0.0,1995-10-13
11000.0,11000.0,11000.0,11000.0,0.0,1995-10-14
11000.0,11000.0,11000.0,11000.0,0.0,1995-10-15
11000.0,11000.0,11000.0,11000.0,0.0,1995-10-16
11005.0,11005.0,11005.0,11005.0,0.05,1995-10-17
11004.0,11004.0,11004.0,11004.0,-0.01,1995-10-18
11004.0,11004.0,11004.0,11004.0,0.0,1995-10-19
11004.0,11004.0,11004.0,11004.0,0.0,1995-10-20
11004.0,11004.0,11004.0,11004.0,0.0,1995-10-21
11004.0,11004.0,11004.0,11004.0,0.0,1995-10-22
11004.0,11004.0,11004.0,11004.0,0.0,1995-10-23
11004.0,11004.0,11004.0,11004.0,0.0,1995-10-24
11004.0,11004.0,11004.0,11004.0,0.0,1995-10-25
